epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.7023,0.40138,0.97196,1,0.09011,0.000474854,0.000474854,0.000474854
2,49.5155,0.12334,0.97196,1,0.06864,0.00091352,0.00091352,0.00091352
3,61.4846,0.11867,0.98754,1,0.04402,0.00131446,0.00131446,0.00131446
4,77.0399,0.08776,0.99169,1,0.03128,0.00125923,0.00125923,0.00125923
5,89.7074,0.06993,0.99273,1,0.02641,0.00120265,0.00120265,0.00120265
6,106.917,0.04991,0.97923,1,0.04764,0.00114606,0.00114606,0.00114606
7,120.762,0.04309,0.99273,1,0.01642,0.00108947,0.00108947,0.00108947
8,134.248,0.04505,0.99065,1,0.01975,0.00103288,0.00103288,0.00103288
9,150.842,0.0358,0.99688,1,0.01004,0.000976293,0.000976293,0.000976293
10,164.552,0.02496,0.99481,1,0.01469,0.000919704,0.000919704,0.000919704
11,181.4,0.02272,0.99585,1,0.01509,0.000863116,0.000863116,0.000863116
12,194.612,0.02206,0.99481,1,0.0245,0.000806528,0.000806528,0.000806528
13,211.354,0.02261,0.99688,1,0.00954,0.000749939,0.000749939,0.000749939
14,224.854,0.01765,0.99481,1,0.02301,0.000693351,0.000693351,0.000693351
15,238.351,0.0153,0.99585,1,0.01974,0.000636762,0.000636762,0.000636762
16,255.796,0.01473,0.99688,1,0.00922,0.000580174,0.000580174,0.000580174
17,268.803,0.01058,0.99585,1,0.01385,0.000523586,0.000523586,0.000523586
18,285.784,0.00712,0.99792,1,0.01367,0.000466997,0.000466997,0.000466997
19,299.487,0.01226,0.99792,1,0.01721,0.000410409,0.000410409,0.000410409
20,312.736,0.00817,0.99688,1,0.01531,0.00035382,0.00035382,0.00035382
21,329.542,0.00701,0.99585,1,0.01392,0.000297232,0.000297232,0.000297232
22,342.74,0.00488,0.99792,1,0.01373,0.000240644,0.000240644,0.000240644
23,359.712,0.00752,0.99688,1,0.01412,0.000184055,0.000184055,0.000184055
24,373.27,0.00425,0.99792,1,0.01073,0.000127467,0.000127467,0.000127467
25,390.017,0.00684,0.99792,1,0.01153,7.08784e-05,7.08784e-05,7.08784e-05
